Ozone	Solar.R	Wind	Temp	Day
39	83	6.9	81	1
9	24	13.8	81	2
16	77	7.4	82	3
78		6.9	86	4
35		7.4	85	5
66		4.6	87	6
122	255	4	89	7
89	229	10.3	90	8
110	207	8	90	9
	222	8.6	92	10
	137	11.5	86	11
44	192	11.5	86	12
28	273	11.5	82	13
65	157	9.7	80	14
	64	11.5	79	15
22	71	10.3	77	16
59	51	6.3	79	17
23	115	7.4	76	18
31	244	10.9	78	19
44	190	10.3	78	20
21	259	15.5	77	21
9	36	14.3	72	22
	255	12.6	75	23
45	212	9.7	79	24
168	238	3.4	81	25
73	215	8	86	26
	153	5.7	88	27
76	203	9.7	97	28
118	225	2.3	94	29
84	237	6.3	96	30
85	188	6.3	94	31
