Ozone	Solar.R	Wind	Temp	Day
	269	4.1	84	1
49	248	9.2	85	2
32	236	9.2	81	3
	101	10.9	84	4
64	175	4.6	83	5
40	314	10.9	83	6
77	276	5.1	88	7
97	267	6.3	92	8
97	272	5.7	92	9
85	175	7.4	89	10
	139	8.6	82	11
10	264	14.3	73	12
27	175	14.9	81	13
	291	14.9	91	14
7	48	14.3	80	15
48	260	6.9	81	16
35	274	10.3	82	17
61	285	6.3	84	18
79	187	5.1	87	19
63	220	11.5	85	20
16	7	6.9	74	21
	258	9.7	81	22
	295	11.5	82	23
80	294	8.6	86	24
108	223	8	85	25
20	81	8.6	82	26
52	82	12	86	27
	213	7.4	88	28
50	275	7.4	86	29
64	253	7.4	83	30
59	254	9.2	81	31
