Ozone	Solar.R	Wind	Temp	Day
41	190	7.4	67	1
36	118	8	72	2
12	149	12.6	74	3
18	313	11.5	62	4
		14.3	56	5
28		14.9	66	6
23	299	8.6	65	7
19	99	13.8	59	8
8	19	20.1	61	9
	194	8.6	69	10
7		6.9	74	11
16	256	9.7	69	12
11	290	9.2	66	13
14	274	10.9	68	14
18	65	13.2	58	15
14	334	11.5	64	16
34	307	12	66	17
6	78	18.4	57	18
30	322	11.5	68	19
11	44	9.7	62	20
1	8	9.7	59	21
11	320	16.6	73	22
4	25	9.7	61	23
32	92	12	61	24
	66	16.6	57	25
	266	14.9	58	26
		8	57	27
23	13	12	67	28
45	252	14.9	81	29
115	223	5.7	79	30
37	279	7.4	76	31
