Ozone	Solar.R	Wind	Temp	Day
96	167	6.9	91	1
78	197	5.1	92	2
73	183	2.8	93	3
91	189	4.6	93	4
47	95	7.4	87	5
32	92	15.5	84	6
20	252	10.9	80	7
23	220	10.3	78	8
21	230	10.9	75	9
24	259	9.7	73	10
44	236	14.9	81	11
21	259	15.5	76	12
28	238	6.3	77	13
9	24	10.9	71	14
13	112	11.5	71	15
46	237	6.9	78	16
18	224	13.8	67	17
13	27	10.3	76	18
24	238	10.3	68	19
16	201	8	82	20
13	238	12.6	64	21
23	14	9.2	71	22
36	139	10.3	81	23
7	49	10.3	69	24
14	20	16.6	63	25
30	193	6.9	70	26
	145	13.2	77	27
14	191	14.3	75	28
18	131	8	76	29
20	223	11.5	68	30
